Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1505961;21-03-2024;01:44:23;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505962;21-03-2024;01:44:25;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505963;21-03-2024;01:44:58;3;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505964;21-03-2024;01:44:58;3;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505965;21-03-2024;01:45:00;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505966;21-03-2024;01:45:00;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505967;21-03-2024;01:45:02;7;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505968;21-03-2024;01:45:02;7;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505969;21-03-2024;01:46:20;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505970;21-03-2024;01:46:52;7;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505971;21-03-2024;01:46:52;7;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505972;21-03-2024;01:46:55;1;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505973;21-03-2024;01:47:06;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505974;21-03-2024;01:47:06;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505975;21-03-2024;01:47:06;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505976;21-03-2024;01:47:29;1;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
1505977;21-03-2024;01:47:44;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505978;21-03-2024;01:51:09;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505979;21-03-2024;01:51:09;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505980;21-03-2024;01:59:40;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505981;21-03-2024;01:59:40;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505982;21-03-2024;01:59:40;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505983;21-03-2024;01:59:54;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505984;21-03-2024;01:59:57;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1505985;21-03-2024;02:00:00;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505986;21-03-2024;02:00:42;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505987;21-03-2024;02:00:42;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505988;21-03-2024;02:02:41;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1505989;21-03-2024;02:02:41;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1505990;21-03-2024;02:02:42;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1505991;21-03-2024;02:02:46;1;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1505992;21-03-2024;02:03:12;1;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1505993;21-03-2024;02:03:15;3;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1505994;21-03-2024;02:03:47;7;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505995;21-03-2024;02:03:48;7;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505996;21-03-2024;02:03:48;7;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505997;21-03-2024;02:04:14;3;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505998;21-03-2024;02:04:15;3;-;Trovan Unique;0007A00464;-;00000000;00000000;-;""
1505999;21-03-2024;02:07:50;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506000;21-03-2024;02:07:50;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506001;21-03-2024;02:07:53;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506002;21-03-2024;02:07:57;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1506003;21-03-2024;02:07:58;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1506004;21-03-2024;02:08:02;1;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1506005;21-03-2024;02:09:00;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506006;21-03-2024;02:09:06;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506007;21-03-2024;02:09:09;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506008;21-03-2024;02:09:09;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506009;21-03-2024;02:09:20;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506010;21-03-2024;02:09:25;1;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1506011;21-03-2024;02:09:32;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506012;21-03-2024;02:09:50;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506013;21-03-2024;02:11:09;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1506014;21-03-2024;02:11:09;7;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
1506015;21-03-2024;02:22:52;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506016;21-03-2024;02:22:52;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506017;21-03-2024;02:23:44;7;-;Trovan Unique;0007A3A179;-;00000000;00000000;-;""
1506018;21-03-2024;02:24:16;7;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506019;21-03-2024;02:24:16;7;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506020;21-03-2024;02:24:27;7;-;Trovan Unique;0007A3A179;-;00000000;00000000;-;""
1506021;21-03-2024;02:24:27;7;-;Trovan Unique;0007A3A179;-;00000000;00000000;-;""
1506022;21-03-2024;02:24:49;3;-;Trovan Unique;0007A3A179;-;00000000;00000000;-;""
1506023;21-03-2024;02:25:05;7;-;Trovan Unique;0007A2E90C;-;00000000;00000000;-;""
1506024;21-03-2024;02:25:06;7;-;Trovan Unique;0007A2E90C;-;00000000;00000000;-;""
1506025;21-03-2024;02:25:10;3;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1506026;21-03-2024;02:25:10;3;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1506027;21-03-2024;02:25:10;3;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1506028;21-03-2024;02:25:40;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506029;21-03-2024;02:25:40;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506030;21-03-2024;02:33:54;7;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506031;21-03-2024;02:33:54;7;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506032;21-03-2024;02:33:56;1;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506033;21-03-2024;02:34:45;1;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506034;21-03-2024;02:35:24;3;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506035;21-03-2024;02:38:09;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506036;21-03-2024;02:38:22;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506037;21-03-2024;02:38:37;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506038;21-03-2024;02:39:01;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506039;21-03-2024;02:39:01;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506040;21-03-2024;02:39:17;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506041;21-03-2024;02:39:17;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506042;21-03-2024;02:39:17;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506043;21-03-2024;02:39:52;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506044;21-03-2024;02:39:52;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506045;21-03-2024;02:39:52;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506046;21-03-2024;02:40:03;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506047;21-03-2024;02:40:03;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506048;21-03-2024;02:40:48;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506049;21-03-2024;02:40:57;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506050;21-03-2024;02:41:05;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506051;21-03-2024;02:41:05;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506052;21-03-2024;02:43:41;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506053;21-03-2024;02:43:41;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506054;21-03-2024;02:43:43;1;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506055;21-03-2024;02:44:27;1;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506056;21-03-2024;02:44:28;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506057;21-03-2024;02:49:34;3;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506058;21-03-2024;02:49:35;3;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506059;21-03-2024;02:50:04;7;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506060;21-03-2024;02:50:05;7;-;Trovan Unique;00079FC3C6;-;00000000;00000000;-;""
1506061;21-03-2024;02:55:17;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506062;21-03-2024;02:55:17;3;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506063;21-03-2024;02:55:42;3;-;Trovan Unique;00079FEEA8;-;00000000;00000000;-;""
1506064;21-03-2024;02:55:42;3;-;Trovan Unique;00079FEEA8;-;00000000;00000000;-;""
1506065;21-03-2024;02:56:34;7;-;Trovan Unique;00079FEEA8;-;00000000;00000000;-;""
1506066;21-03-2024;02:56:34;7;-;Trovan Unique;00079FEEA8;-;00000000;00000000;-;""
1506067;21-03-2024;02:56:40;1;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506068;21-03-2024;02:56:42;7;-;Trovan Unique;0007A3C408;-;00000000;00000000;-;""
1506069;21-03-2024;02:57:24;1;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1506070;21-03-2024;02:57:33;1;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1506071;21-03-2024;03:01:02;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1506072;21-03-2024;03:02:45;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1506073;21-03-2024;03:02:45;3;-;Trovan Unique;00079F8602;-;00000000;00000000;-;""
1506074;21-03-2024;03:04:20;7;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
1506075;21-03-2024;03:04:20;7;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
